Nivel,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Información,17/11/2024 17:12:40,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""detenido""."
Información,17/11/2024 17:12:30,Service Control Manager,7036,Ninguno,"El servicio Windows Update entró en estado ""en ejecución""."
Información,17/11/2024 17:10:24,Service Control Manager,7036,Ninguno,"El servicio Windows Installer entró en estado ""detenido""."
Información,17/11/2024 17:09:44,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""detenido""."
Información,17/11/2024 17:09:39,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""en ejecución""."
Información,17/11/2024 17:08:18,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""detenido""."
Información,17/11/2024 17:07:47,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""en ejecución""."
Información,17/11/2024 17:06:18,Service Control Manager,7036,Ninguno,"El servicio Agente de directiva IPsec entró en estado ""en ejecución""."
Información,17/11/2024 17:04:44,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""en ejecución""."
Información,17/11/2024 17:04:42,Service Control Manager,7036,Ninguno,"El servicio TightVNC Server entró en estado ""en ejecución""."
Información,17/11/2024 17:04:41,Service Control Manager,7045,Ninguno,"Se instaló un servicio en el sistema.

Nombre del servicio:  TightVNC Server
Nombre del archivo del servicio:  ""C:\Program Files\TightVNC\tvnserver.exe"" -service
Tipo de servicio:  servicio de modo usuario
Tipo de inicio de servicio:  inicio automático
Cuenta de servicio:  LocalSystem"
Información,17/11/2024 17:04:03,Service Control Manager,7036,Ninguno,"El servicio Windows Installer entró en estado ""en ejecución""."
Información,17/11/2024 17:04:02,Service Control Manager,7036,Ninguno,"El servicio Host de sistema de diagnóstico entró en estado ""en ejecución""."
Información,17/11/2024 17:03:56,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""detenido""."
Información,17/11/2024 17:01:05,Service Control Manager,7036,Ninguno,"El servicio Windows Update entró en estado ""detenido""."
Información,17/11/2024 16:58:55,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""detenido""."
Información,17/11/2024 16:58:13,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""en ejecución""."
Información,17/11/2024 16:56:36,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""en ejecución""."
Información,17/11/2024 16:51:02,Service Control Manager,7036,Ninguno,"El servicio Windows Update entró en estado ""en ejecución""."
Información,17/11/2024 16:49:36,Service Control Manager,7036,Ninguno,"El servicio Host de sistema de diagnóstico entró en estado ""detenido""."
Información,17/11/2024 16:49:23,Service Control Manager,7036,Ninguno,"El servicio Windows Update entró en estado ""detenido""."
Información,17/11/2024 16:45:46,Service Control Manager,7036,Ninguno,"El servicio Proveedor de instantáneas de software de Microsoft entró en estado ""detenido""."
Información,17/11/2024 16:44:28,Service Control Manager,7036,Ninguno,"El servicio OpenSSH Authentication Agent entró en estado ""en ejecución""."
Información,17/11/2024 16:44:27,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio OpenSSH Authentication Agent se cambió de deshabilitado a inicio automático.
Información,17/11/2024 16:44:04,Service Control Manager,7036,Ninguno,"El servicio OpenSSH SSH Server entró en estado ""en ejecución""."
Información,17/11/2024 16:43:53,Service Control Manager,7036,Ninguno,"El servicio Bitvise SSH Server entró en estado ""detenido""."
Error,17/11/2024 16:43:28,Service Control Manager,7034,Ninguno,El servicio OpenSSH SSH Server se terminó de manera inesperada. Esto ha sucedido 2 veces.
Información,17/11/2024 16:43:28,Service Control Manager,7036,Ninguno,"El servicio OpenSSH SSH Server entró en estado ""en ejecución""."
Error,17/11/2024 16:43:23,Service Control Manager,7030,Ninguno,"El servicio OpenSSH SSH Server ha sido marcado como servicio interactivo. Sin embargo, el sistema está configurado para no permitir servicios interactivos. Este servicio puede tener un funcionamiento incorrecto."
Información,17/11/2024 16:43:23,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio OpenSSH SSH Server se cambió de inicio por solicitud a inicio automático.
Información,17/11/2024 16:43:20,Service Control Manager,7036,Ninguno,"El servicio Optimización de distribución entró en estado ""detenido""."
Error,17/11/2024 16:43:05,Service Control Manager,7034,Ninguno,El servicio OpenSSH SSH Server se terminó de manera inesperada. Esto ha sucedido 1 veces.
Información,17/11/2024 16:43:05,Service Control Manager,7036,Ninguno,"El servicio OpenSSH SSH Server entró en estado ""en ejecución""."
Información,17/11/2024 16:42:45,Service Control Manager,7036,Ninguno,"El servicio Instantáneas de volumen entró en estado ""detenido""."
Información,17/11/2024 16:42:20,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""detenido""."
Información,17/11/2024 16:39:46,Service Control Manager,7040,Ninguno,El tipo de inicio del servicio Instalador de módulos de Windows se cambió de inicio automático a inicio por solicitud.
