Nivel,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Información,18/11/2024 16:02:08,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2025-04-16T12:21:08Z. Motivo: RulesEngine.
Información,18/11/2024 16:01:37,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
Información,18/11/2024 15:41:46,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2025-04-16T12:20:46Z. Motivo: RulesEngine.
Información,18/11/2024 15:41:15,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
Información,18/11/2024 15:36:11,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2025-04-16T12:21:09Z. Motivo: RulesEngine.
Información,18/11/2024 15:34:27,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
Información,18/11/2024 15:33:47,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2025-04-16T12:20:47Z. Motivo: RulesEngine.
Información,18/11/2024 15:33:16,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
Advertencia,18/11/2024 15:31:21,BvSshServer,4097,Ninguno,"event
  time: 2024-11-18 15:31:21.837444 +0100
  app: BvSshServer 9.39
  type: Warning
  name: W_SYSTEM_MONITOR_HIGH_CPU_USAGE
  desc: High system-wide CPU usage detected.
  parameters
    thresholdPercent: 90
    usagePercent: 100
"
Información,18/11/2024 15:23:30,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2025-04-16T12:21:30Z. Motivo: RulesEngine.
Información,18/11/2024 15:22:27,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
Información,18/11/2024 15:20:13,Microsoft-Windows-LoadPerf,1000,Ninguno,Se cargaron correctamente los contadores de rendimiento del servicio WmiApRpl (WmiApRpl). Los datos de registro en la sección de datos contienen los nuevos valores de los índices asignados a este servicio.
Información,18/11/2024 15:20:13,Microsoft-Windows-LoadPerf,1001,Ninguno,Se quitaron correctamente los contadores de rendimiento del servicio WmiApRpl (WmiApRpl). Los datos de registro contienen los nuevos valores de las entradas del Registro Último contador y Última ayuda del sistema.
Información,18/11/2024 15:17:33,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2025-04-16T12:21:33Z. Motivo: RulesEngine.
Información,18/11/2024 15:17:02,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
Información,18/11/2024 15:14:37,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2025-04-16T12:21:37Z. Motivo: RulesEngine.
Información,18/11/2024 15:14:05,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
Información,18/11/2024 15:14:00,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2025-04-16T12:21:00Z. Motivo: RulesEngine.
Información,18/11/2024 15:13:12,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
Información,18/11/2024 15:13:10,Microsoft-Windows-Security-SPP,900,Ninguno,"Se está iniciando el servicio de protección de software.
Parámetros:<explicit>"
Información,18/11/2024 15:13:09,Microsoft-Windows-MSDTC 2,4202,TM,"MSDTC se inició con la configuración siguiente: Configuración de seguridad (desactivada = 0 y activada = 1): Permitir administrador remoto = 0, Clientes de red = 0, Comunicación con el administrador de transacciones:  Permitir transacciones entrantes = 0, Permitir transacciones salientes = 0, Protocolo Internet de transacciones (TIP) = 0,  Habilitar transacciones XA = 0,  Habilitar transacciones de SNA LU 6.2 = 1,  Seguridad de las comunicaciones MSDTC = Se requiere autenticación mutua, Cuenta = NT AUTHORITY\NetworkService,  Detección de exclusión del firewall = 0 Puente de transacciones instalado = 0 Filtrar eventos duplicados = 1"
Información,18/11/2024 15:13:08,edgeupdate,0,Ninguno,Service stopped.
Información,18/11/2024 15:12:05,edgeupdate,0,Ninguno,Service stopped.
Información,18/11/2024 15:12:03,Microsoft-Windows-Security-SPP,903,Ninguno,"Se detuvo el servicio de protección de software.
"
Información,18/11/2024 15:12:03,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2024-11-19T14:11:03Z. Motivo: TBL.
